dataset,label_col,split_type,method,alpha,n_pool,pool_actives,pool_prevalence,n_test,test_actives,test_prevalence,mean_norm_ausc,std_norm_ausc,mean_ef,std_ef,mean_final_hits,std_final_hits,mean_final_recall,std_final_recall,mean_final_roc_auc,mean_final_pr_auc,mean_final_alpha,std_final_alpha
bace,Class,scaffold,exploitation,0.00,1210,631,0.521488,303,60,0.198020,1.4736,0.0105,1.4957,0.0251,390.00,6.53,0.6181,0.0104,0.7209,0.4813,0.0000,0.0000
bace,Class,scaffold,exploitation,0.00,1210,631,0.521488,303,60,0.198020,1.4736,0.0105,1.4957,0.0251,390.00,6.53,0.6181,0.0104,0.7209,0.4813,0.0000,0.0000
bace,Class,scaffold,bandit,bandit,1210,631,0.521488,303,60,0.198020,1.4213,0.0142,1.4727,0.0094,384.00,2.45,0.6086,0.0039,0.7246,0.4943,0.4167,0.2357
