dataset,label_col,split_type,method,alpha,n_pool,pool_actives,pool_prevalence,n_test,test_actives,test_prevalence,mean_norm_ausc,std_norm_ausc,mean_ef,std_ef,mean_final_hits,std_final_hits,mean_final_recall,std_final_recall,mean_final_roc_auc,mean_final_pr_auc,mean_final_alpha,std_final_alpha
tox21,NR-AR,scaffold,exploitation,0.00,5806,267,0.045987,1452,41,0.028237,9.1784,0.0404,6.4076,0.0542,147.33,1.25,0.5518,0.0047,0.7005,0.3202,0.0000,0.0000
tox21,NR-AR,scaffold,exploitation,0.00,5806,267,0.045987,1452,41,0.028237,9.1784,0.0404,6.4076,0.0542,147.33,1.25,0.5518,0.0047,0.7005,0.3202,0.0000,0.0000
tox21,NR-AR,scaffold,bandit,bandit,5806,267,0.045987,1452,41,0.028237,8.0904,0.5435,6.3496,0.0710,146.00,1.63,0.5468,0.0061,0.6982,0.3292,0.5000,0.4082
