dataset,label_col,split_type,method,alpha,n_pool,pool_actives,pool_prevalence,n_test,test_actives,test_prevalence,mean_norm_ausc,std_norm_ausc,mean_ef,std_ef,mean_final_hits,std_final_hits,mean_final_recall,std_final_recall,mean_final_roc_auc,mean_final_pr_auc,mean_final_alpha,std_final_alpha
tox21,NR-AR,scaffold,exploitation,0.00,5806,267,0.045987,1452,41,0.028237,9.1784,0.0404,6.4076,0.0542,147.33,1.25,0.5518,0.0047,0.7005,0.3202,0.0000,0.0000
tox21,NR-AR,scaffold,fixed_alpha,0.10,5806,267,0.045987,1452,41,0.028237,7.5113,0.5470,5.5523,0.3020,127.67,6.94,0.4782,0.0260,0.7219,0.3240,0.1000,0.0000
tox21,NR-AR,scaffold,fixed_alpha,0.25,5806,267,0.045987,1452,41,0.028237,6.5609,0.4007,4.9724,0.1478,114.33,3.40,0.4282,0.0127,0.7138,0.3246,0.2500,0.0000
tox21,NR-AR,scaffold,fixed_alpha,0.50,5806,267,0.045987,1452,41,0.028237,6.2322,0.2346,4.8130,0.1141,110.67,2.62,0.4145,0.0098,0.6768,0.3217,0.5000,0.0000
tox21,NR-AR,scaffold,fixed_alpha,0.75,5806,267,0.045987,1452,41,0.028237,5.8720,0.4841,4.4940,0.2892,103.33,6.65,0.3870,0.0249,0.6972,0.3201,0.7500,0.0000
tox21,NR-AR,scaffold,fixed_alpha,1.00,5806,267,0.045987,1452,41,0.028237,5.7812,0.5393,4.4360,0.3841,102.00,8.83,0.3820,0.0331,0.6918,0.3196,1.0000,0.0000
tox21,NR-AR,scaffold,bandit,bandit,5806,267,0.045987,1452,41,0.028237,8.0904,0.5435,6.3496,0.0710,146.00,1.63,0.5468,0.0061,0.6982,0.3292,0.5000,0.4082
