dataset,label_col,split_type,method,alpha,n_pool,pool_actives,pool_prevalence,n_test,test_actives,test_prevalence,mean_norm_ausc,std_norm_ausc,mean_ef,std_ef,mean_final_hits,std_final_hits,mean_final_recall,std_final_recall,mean_final_roc_auc,mean_final_pr_auc,mean_final_alpha,std_final_alpha
clintox,CT_TOX,scaffold,exploitation,0.00,1184,87,0.073480,296,25,0.084459,2.0822,0.1895,1.8418,0.0339,67.67,1.25,0.7778,0.0143,0.8215,0.3024,0.0000,0.0000
clintox,CT_TOX,scaffold,fixed_alpha,0.10,1184,87,0.073480,296,25,0.084459,2.0922,0.1914,1.8236,0.0222,67.00,0.82,0.7701,0.0094,0.8091,0.2931,0.1000,0.0000
clintox,CT_TOX,scaffold,fixed_alpha,0.25,1184,87,0.073480,296,25,0.084459,2.0753,0.1943,1.8871,0.0128,69.33,0.47,0.7969,0.0054,0.8290,0.3463,0.2500,0.0000
clintox,CT_TOX,scaffold,fixed_alpha,0.50,1184,87,0.073480,296,25,0.084459,2.0290,0.2272,1.8236,0.0801,67.00,2.94,0.7701,0.0338,0.7946,0.3130,0.5000,0.0000
clintox,CT_TOX,scaffold,fixed_alpha,0.75,1184,87,0.073480,296,25,0.084459,2.0276,0.3088,1.9234,0.0257,70.67,0.94,0.8123,0.0108,0.8280,0.3413,0.7500,0.0000
clintox,CT_TOX,scaffold,fixed_alpha,1.00,1184,87,0.073480,296,25,0.084459,2.0038,0.3219,1.8690,0.0339,68.67,1.25,0.7893,0.0143,0.8255,0.3255,1.0000,0.0000
clintox,CT_TOX,scaffold,bandit,bandit,1184,87,0.073480,296,25,0.084459,2.0936,0.2061,1.8327,0.0559,67.33,2.05,0.7739,0.0236,0.8181,0.3456,0.8333,0.2357
