dataset,observed_prevalence,best_fixed_alpha,best_fixed_ausc,best_fixed_recall,bandit_ausc,bandit_recall,bandit_final_alpha,cluster_p003_ausc,cluster_p003_recall,cluster_p003_final_alpha,cluster_p010_ausc,cluster_p010_recall,cluster_p010_final_alpha,p003_minus_bandit_ausc,p003_minus_bandit_recall
BACE,0.4567,0.25,0.361,0.651,0.359,0.6624,0.2833,0.3537,0.648,0.3333,0.3475,0.6516,0.3333,-0.005299999999999971,-0.014399999999999968
BBBP,0.7644,0.0,0.2078,0.3785,0.1901,0.3503,0.2,0.1898,0.3543,0.0667,0.1896,0.3517,0.1167,-0.0002999999999999947,0.0040000000000000036
ClinTox CT_TOX,0.0755,0.5,0.5414,0.8222,0.5316,0.8185,0.3333,0.4957,0.7852,0.3667,0.4633,0.6926,0.3667,-0.03589999999999999,-0.033299999999999996
HIV,0.035,0.0,0.2814,0.4595,0.272,0.4214,0.6667,0.2694,0.4476,0.5,0.2736,0.4929,0.1167,-0.0026000000000000467,0.0262
Tox21 NR-AR,0.0426,0.25,0.4668,0.5608,0.466,0.5667,0.3667,0.4513,0.5529,0.2833,0.407,0.5608,0.3667,-0.014700000000000046,-0.013800000000000034
