dataset,dataset_key,expected_hit_rate_group,observed_prevalence,method,alpha,mean_ausc,std_ausc,final_recall,final_hit_rate,final_alpha,final_roc_auc,final_pr_auc
HIV,hiv,very low,0.0350,cluster_bandit,cluster_bandit,0.2736,0.0123,0.4929,0.0667,0.1167,0.7627,0.2867
ClinTox CT_TOX,clintox,low,0.0755,cluster_bandit,cluster_bandit,0.4633,0.0218,0.6926,0.0800,0.3667,0.7298,0.2589
Tox21 NR-AR,tox21,low-medium,0.0426,cluster_bandit,cluster_bandit,0.4070,0.0283,0.5608,0.0267,0.3667,0.7808,0.5692
BACE,bace,medium,0.4567,cluster_bandit,cluster_bandit,0.3475,0.0093,0.6516,0.6800,0.3333,0.8622,0.8617
BBBP,bbbp,high,0.7644,cluster_bandit,cluster_bandit,0.1896,0.0002,0.3517,0.8533,0.1167,0.8503,0.9446
