dataset,observed_prevalence,best_fixed_alpha,best_fixed_ausc,best_fixed_recall,bandit_ausc,bandit_recall,bandit_final_alpha,cluster_bandit_ausc,cluster_bandit_recall,cluster_bandit_final_alpha,cluster_minus_bandit_ausc,cluster_minus_fixed_ausc,cluster_minus_bandit_recall
BACE,0.4567,0.25,0.361,0.651,0.359,0.6624,0.2833,0.3475,0.6516,0.3333,-0.01150000000000001,-0.013500000000000012,-0.010800000000000032
BBBP,0.7644,0.0,0.2078,0.3785,0.1901,0.3503,0.2,0.1896,0.3517,0.1167,-0.0005000000000000004,-0.01820000000000002,0.0014000000000000123
ClinTox CT_TOX,0.0755,0.5,0.5414,0.8222,0.5316,0.8185,0.3333,0.4633,0.6926,0.3667,-0.06829999999999997,-0.0781,-0.1259
HIV,0.035,0.0,0.2814,0.4595,0.272,0.4214,0.6667,0.2736,0.4929,0.1167,0.0015999999999999903,-0.007799999999999974,0.07150000000000001
Tox21 NR-AR,0.0426,0.25,0.4668,0.5608,0.466,0.5667,0.3667,0.407,0.5608,0.3667,-0.05900000000000005,-0.05980000000000002,-0.005900000000000016
