dataset,observed_prevalence,best_fixed_alpha,best_fixed_ausc,best_fixed_recall,adaptive_ausc,adaptive_recall,adaptive_final_alpha,bandit_ausc,bandit_recall,bandit_final_alpha,bandit_minus_adaptive_ausc,bandit_minus_fixed_ausc
BACE,0.4567,0.25,0.361,0.651,0.2936,0.5353,0.7666,0.359,0.6624,0.2833,0.06539999999999996,-0.0020000000000000018
BBBP,0.7644,0.0,0.2078,0.3785,0.1767,0.3224,0.4879,0.1901,0.3503,0.2,0.013399999999999995,-0.01770000000000002
ClinTox CT_TOX,0.0755,0.5,0.5414,0.8222,0.5336,0.8037,0.2815,0.5316,0.8185,0.3333,-0.0020000000000000018,-0.009800000000000031
HIV,0.035,0.0,0.2814,0.4595,0.2737,0.4571,0.5182,0.272,0.4214,0.6667,-0.0016999999999999793,-0.009399999999999964
Tox21 NR-AR,0.0426,0.25,0.4668,0.5608,0.4273,0.5569,0.0,0.466,0.5667,0.3667,0.03870000000000001,-0.0007999999999999674
