dataset,dataset_key,expected_hit_rate_group,observed_prevalence,method,alpha,mean_ausc,std_ausc,final_recall,final_hit_rate,final_alpha,final_roc_auc,final_pr_auc
HIV,hiv,very low,0.0350,bandit,bandit,0.2720,0.0749,0.4214,0.1067,0.6667,0.7259,0.2431
ClinTox CT_TOX,clintox,low,0.0755,bandit,bandit,0.5316,0.0390,0.8185,0.0800,0.3333,0.7922,0.2660
Tox21 NR-AR,tox21,low-medium,0.0426,bandit,bandit,0.4660,0.0105,0.5667,0.0267,0.3667,0.7633,0.5581
BACE,bace,medium,0.4567,bandit,bandit,0.3590,0.0155,0.6624,0.8267,0.2833,0.8250,0.8362
BBBP,bbbp,high,0.7644,bandit,bandit,0.1901,0.0041,0.3503,0.9733,0.2000,0.8280,0.9333
